Loop,th,time,CH1,CH2,CH3,CH4
0,64,2.19,1.178,4.482,3.73,5.245
0,3,2.21,1.261,2.279,2.295,6.925
0,128,2.17,1.619,0.528,5.372,5.236
0,15,2.19,2.073,1.913,1.978,7.154
0,141,2.23,1.582,0.8024,4.368,5.767
0,125,2.19,2.192,0.7291,5.68,5.01
0,133,2.18,1.821,0.624,4.784,5.974
0,38,2.23,1.316,2.457,2.236,6.623
0,98,2.17,1.197,1.602,3.169,6.754
0,92,2.19,1.481,1.045,3.766,6.884
0,100,2.2,1.49,0.5691,6.449,4.497
0,16,2.19,1.738,1.913,2.114,7.055
0,146,2.19,1.44,0.6515,4.789,5.727
0,19,2.2,1.724,2.16,2.101,7.028
0,96,2.22,1.499,1.159,4.055,6.515
0,17,2.19,1.642,2.096,2.15,6.983
0,1,2.23,1.389,2.023,2.273,6.92
0,50,2.2,2.031,0.9715,4.069,6.618
