Wavelength_nm,Timestamp,00_Output_V,00_Std_V,01_Output_V,01_Std_V,10_Output_V,10_Std_V,11_Output_V,11_Std_V
1548.0,2025-06-16T09:20:58.981315,1.0114,0.00938,0.63477,0.01176,1.24167,0.01037,0.7299,0.01471
1548.4,2025-06-16T09:21:22.244460,1.41433,0.00368,1.05567,0.01084,1.405,0.02886,0.41617,0.00429
1548.8,2025-06-16T09:21:45.559510,1.92733,0.02164,1.307,0.03888,1.95433,0.0066,0.3982,0.02138
1549.2,2025-06-16T09:22:08.809872,2.12233,0.01037,1.61633,0.00759,2.19067,0.00613,0.3849,0.00198
1549.6,2025-06-16T09:22:32.082775,2.89567,0.02498,2.066,0.04414,3.04767,0.01226,0.544,0.00367
1550.0,2025-06-16T09:22:55.369324,2.96,0.02245,2.64867,0.04994,2.982,0.05166,0.73297,0.01111
1550.4,2025-06-16T09:23:18.602941,2.79433,0.04846,2.49267,0.0424,2.94767,0.00759,0.93973,0.01519
1550.8,2025-06-16T09:23:41.884973,2.08033,0.04005,2.37667,0.01078,2.961,0.02362,1.33067,0.00544
1551.2,2025-06-16T09:24:05.168896,1.68367,0.00544,2.009,0.00849,3.12033,0.00579,1.98233,0.00189
1551.6,2025-06-16T09:24:28.420824,1.29233,0.00946,1.79933,0.00759,3.78233,0.03274,2.588,0.04904
1552.0,2025-06-16T09:24:51.733391,1.28467,0.01103,2.11033,0.00368,3.647,0.01143,3.464,0.05665
